DX,DATE,UTC,FREQUENCY,MODE,RST,WKD,PATH,SUBMITTER,REMARKS,SQSL,RQSL,QSL_info
32AT105,22/08/2025,15:34,27580,USB,5/5,WKD,SP,30AT213,"Gracias 73's",2025-08-25,2025-08-26,
3SD155,22/08/2025,15:27,27490,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-08-25,,
26WAC017,21/08/2025,17:18,27595,USB,5/9,WKD,SP,30AT213,"Thanks 73's",,,
26LR063,21/08/2025,17:11,27615,USB,5/5,WKD,SP,30AT213,"Thanks 73's",2025-08-25,,
26RC437,21/08/2025,17:11,27615,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-08-25,,
30PO070,21/08/2025,16:48,27620,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-08-25,,
26ST009,21/08/2025,16:44,27615,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
26KN08,21/08/2025,16:28,27615,USB,5/3,WKD,SP,30AT213,"Thanks 73's",,,
19RF332,21/08/2025,16:23,27615,USB,5/3,WKD,SP,30AT213,"Thanks 73's",2025-08-25,,
49AT243,21/08/2025,16:13,27615,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
14BB120,21/08/2025,16:03,27615,USB,5/3,WKD,SP,30AT213,"Thanks 73's",,,
16BC038,21/08/2025,16:02,27615,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-08-25,2025-08-25,
15OI68,21/08/2025,07:54,27615,USB,4/3,WKD,SP,30AT213,"Thanks 73's",2025-08-25,,
76LR001,21/08/2025,15:53,27610,USB,5/6,WKD,SP,30AT213,"Thanks 73's",,,
165EK165,21/08/2025,15:46,27470,USB,5/5,WKD,SP,30AT213,"Thanks 73's",,,
162AT/DX,21/08/2025,15:02,27510,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
14GBC264,12/08/2025,21:58,27490,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-08-25,,
14AT066,12/08/2025,21:48,27490,USB,5/5,WKD,SP,30AT213,"Thanks 73's",2025-08-25,,
13DC101,12/08/2025,21:35,27490,USB,5/3,WKD,SP,30AT213,"Thanks 73's",,,
26LR212,12/08/2025,21:26,27490,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
